Basin,Geounit,Country,Facility Name with Facility ID,Business Line,Model ID,Serial No,Calibration Frequency in Month,Date of Last Calibration Test,Calibration Compliance Indicator,Leak Test Frequency in Month,Date of Last Leak Test,Leak Test Compliance Indicator,Last Leak Test Result Recorded,Leak Test Result Compliance Indicator,Confirmation Inventory Frequency,Date of last confirmation inv test,Date of next confirmation inv test,Photo Inventory Frequency,Date of Last Photo Inv test,Date of Next Photo Inv test,Confirmation & Photo Compliance Indicator,Located,Physical Location,PAU / Countrol site
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GPV-V|4757,,15-May-14,Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,,21-Aug-09,(Not Applicable),,(No Record),(Not Applicable),Not Applicable,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-J|2955,,31-Jul-06,Non Compliance,6 Month,26-Dec-22,Compliance,"26-Mar-2023
(Due by Date)",Non Compliance,3Month,7-Mar-23,7-Jun-23,12Month,26-Dec-22,26-Dec-23,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-J|2995,,1-Nov-07,Non Compliance,6 Month,27-Mar-23,Compliance,22-Dec-22,Action Needed,3Month,27-Mar-23,27-Jun-23,12Month,27-Mar-23,27-Mar-24,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-J|3798,,10-Nov-08,Non Compliance,6 Month,26-Oct-22,Action Needed,19-Jan-23,Compliance,3Month,19-Jan-23,19-Apr-23,12Month,22-Apr-22,22-Apr-23,Action Needed,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-J|3839,,8-Nov-08,Non Compliance,6 Month,26-Oct-22,Action Needed,19-Jan-23,Compliance,3Month,19-Jan-23,19-Apr-23,12Month,19-Apr-22,19-Apr-23,Action Needed,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-J|3958,,26-May-14,Non Compliance,12 Month,25-Mar-23,Compliance,22-Dec-22,Action Needed,3Month,27-Mar-23,27-Jun-23,12Month,26-Sep-22,26-Sep-23,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-J|3960,,6-Oct-06,Non Compliance,6 Month,26-Oct-22,Action Needed,19-Jan-23,Compliance,3Month,7-Mar-23,7-Jun-23,12Month,26-Dec-22,26-Dec-23,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-J|4757,,15-May-14,Non Compliance,6 Month,25-Mar-23,Compliance,22-Dec-22,Action Needed,3Month,27-Mar-23,27-Jun-23,12Month,27-Mar-23,27-Mar-24,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-J|A5340,,(No Record),Non Compliance,6 Month,20-Feb-23,Compliance,14-Nov-22,Action Needed,3Month,20-Feb-23,20-May-23,12Month,21-Feb-23,21-Feb-24,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-J|A5362,,(No Record),Non Compliance,6 Month,26-Dec-22,Compliance,26-Dec-22,Compliance,3Month,7-Mar-23,7-Jun-23,12Month,26-Dec-22,26-Dec-23,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-J|A5366,,(No Record),Non Compliance,6 Month,26-Oct-22,Action Needed,19-Jan-23,Compliance,3Month,19-Jan-23,19-Apr-23,12Month,22-Apr-22,22-Apr-23,Action Needed,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-J|A5376,,9-Sep-13,Non Compliance,6 Month,26-Oct-22,Action Needed,19-Jan-23,Compliance,3Month,19-Jan-23,19-Apr-23,12Month,19-Apr-22,19-Apr-23,Action Needed,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-J|A5599,,(No Record),Non Compliance,6 Month,25-Mar-23,Compliance,29-Nov-22,Action Needed,3Month,27-Mar-23,27-Jun-23,12Month,22-Sep-22,22-Sep-23,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-J|A5601,,(No Record),Non Compliance,12 Month,25-Mar-23,Compliance,"23-Jun-2023
(Due by Date)",Action Needed,3Month,27-Mar-23,27-Jun-23,12Month,27-Mar-23,27-Mar-24,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-J|A5646,,(No Record),Non Compliance,12 Month,25-Mar-23,Compliance,22-Dec-22,Action Needed,3Month,27-Mar-23,27-Jun-23,12Month,27-Mar-23,27-Mar-24,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-U|122,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,20-Feb-23,20-May-23,12Month,6-May-22,6-May-23,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-U|1945,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,20-Feb-23,20-May-23,12Month,6-May-22,6-May-23,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-U|1993,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,21-Feb-23,21-May-23,12Month,10-May-22,10-May-23,Compliance,YANI,Job,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-U|2018,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,27-Feb-23,27-May-23,12Month,29-Aug-22,29-Aug-23,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-U|225,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,20-Feb-23,20-May-23,12Month,20-Feb-23,20-Feb-24,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-U|3733,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,20-Feb-23,20-May-23,12Month,20-Feb-23,20-Feb-24,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-U|471,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,22-Feb-23,22-May-23,12Month,22-Feb-23,22-Feb-24,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-U|624,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,20-Feb-23,20-May-23,12Month,20-Feb-23,20-Feb-24,Compliance,BPN_IE LAB,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-U|91305,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,20-Feb-23,20-May-23,12Month,20-Feb-23,20-Feb-24,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-U|91607,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,20-Feb-23,20-May-23,12Month,20-Feb-23,20-Feb-24,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-U|96291,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,20-Feb-23,20-May-23,12Month,20-Feb-23,20-Feb-24,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-U|KME-01,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,21-Feb-23,21-May-23,12Month,21-Feb-23,21-Feb-24,Compliance,Medco Tarakan,Job,IDBPN-WLES
